transaction_date,agent_id,transaction_id,product_id,sell_quantity,revenue_kgs,loaded_at
2026-06-03,b3667c34-3ca3-11f0-0a80-15ce0025d38d,143035c08bea9f9bf479465da01dd254,5985aaa8-e2da-11f0-0a80-0b1a00161827,60.0,50760.0,2026-06-10 13:02:14
2026-06-03,b3667c34-3ca3-11f0-0a80-15ce0025d38d,2dd7b9fda0f4e372442019fde4bdb1f3,74c10471-8b01-11ef-0a80-15690019f23d,120.0,77760.0,2026-06-10 13:02:14
2026-06-04,18a13a53-87c0-11ef-0a80-1568002f42aa,df2d662ffe4189c916953d812391d381,fc95d8fb-2e59-11ef-0a80-0b8700a9ad77,240.0,1776.0,2026-06-05 08:02:11
2026-06-15,b3667c34-3ca3-11f0-0a80-15ce0025d38d,7339a844877d1d393033bc3e5ab545cf,10c5a5d4-857f-11f0-0a80-0bc5002ca4f9,200.0,118800.0,2026-06-15 05:02:21
2026-07-02,2db2c3dd-5f17-11f1-0a80-1d6500046ebf,b4fb95a49cf529aec2f8c243001aaaa5,2be8aba8-87e4-11ef-0a80-11f10092c32c,3.0,2538.0108,2026-07-09 10:02:29
2026-07-11,b3667c34-3ca3-11f0-0a80-15ce0025d38d,117c9c069f920f1d87d550f755040ce2,a974ba93-857a-11f0-0a80-0bc5002c3efe,50.0,4950.0,2026-07-15 05:02:14
2026-07-13,4d4bb3c6-7396-11f1-0a80-1357002a9eb8,41559c6b38b39dfcbffcfa726b131a8f,194933b8-a652-11ef-0a80-119e0008e35a,5.0,4000.0,2026-07-15 04:02:02
2026-07-13,4d4bb3c6-7396-11f1-0a80-1357002a9eb8,5981baeb9fa0cbcf2da68ff6f355762f,065803bd-8564-11f0-0a80-01f6002ae5fc,2.0,3200.0,2026-07-15 04:02:02
2026-07-13,4d4bb3c6-7396-11f1-0a80-1357002a9eb8,844460b779964f97e1de571086dfeeef,fc7028da-2e59-11ef-0a80-0b8700a9ad4e,2.0,1720.0,2026-07-15 04:02:02
2026-07-13,4d4bb3c6-7396-11f1-0a80-1357002a9eb8,b52aba22dc70fed8a720cff790470ee9,dd96f052-a651-11ef-0a80-07ad0008faed,2.0,1560.0,2026-07-15 04:02:02
2026-07-13,4d4bb3c6-7396-11f1-0a80-1357002a9eb8,c5ba231dc86abad9b5aa75d77452c6ae,fc5cc590-2e59-11ef-0a80-0b8700a9ad3f,2.0,1680.0,2026-07-15 04:02:02
2026-07-13,4d4bb3c6-7396-11f1-0a80-1357002a9eb8,dd3e3bb9d3677ac6ee454a833bfd0284,5a354124-b05c-11ef-0a80-07b600b86085,2.0,3020.0,2026-07-15 04:02:02
2026-07-20,a08652a8-5e52-11f1-0a80-0cb7000604b7,95a69af832733a3601c244b913e3fb93,da7c9a06-6c8d-11f1-0a80-1be70017b13b,2.0,1457.3001,2026-07-27 08:02:31
2026-07-21,356fb156-83ed-11f1-0a80-173600242e0d,0b47b431aaef54236c0c24882a47e9e9,c64007e3-2e59-11ef-0a80-0b8700a9415d,5.0,3250.0,2026-07-22 04:01:59
2026-07-21,356fb156-83ed-11f1-0a80-173600242e0d,20d93da5fba41b9110bfecce95608aaf,c7a0b6c5-979d-11ef-0a80-0e390015ac1c,5.0,3480.0,2026-07-22 04:01:59
2026-07-21,356fb156-83ed-11f1-0a80-173600242e0d,65d08e698b0541471dc772f3d6e91e33,a9db916a-8417-11f0-0a80-01f600123bdf,3.0,2610.0,2026-07-22 04:01:59
2026-07-21,356fb156-83ed-11f1-0a80-173600242e0d,a4e3b8435c8bada17b55c9cce8484ad6,5991ddba-8865-11ef-0a80-1640004f7873,5.0,3400.0,2026-07-22 04:01:59
2026-07-21,356fb156-83ed-11f1-0a80-173600242e0d,ab1ae815d0cf68034d9053606b5c3087,3f05bbf2-979e-11ef-0a80-0e390015bad3,5.0,3345.0,2026-07-22 04:01:59
2026-07-21,356fb156-83ed-11f1-0a80-173600242e0d,b0878364dc7ef46e2e1d971aa18be751,c1bec27d-8580-11f0-0a80-1b8f002b1924,3.0,3229.2,2026-07-22 04:01:59
2026-07-21,356fb156-83ed-11f1-0a80-173600242e0d,b68dfe99b406e5709972520aa83b5899,9a11276e-71cd-11ef-0a80-011d00136cf0,5.0,4250.0,2026-07-22 04:01:59
2026-07-21,356fb156-83ed-11f1-0a80-173600242e0d,c393fa3a9646c4cc699ac38c9fed8680,fc7028da-2e59-11ef-0a80-0b8700a9ad4e,5.0,3455.0,2026-07-22 04:01:59
2026-07-27,f4201bf6-6390-11f0-0a80-0fa2000d75eb,86baf50a0682bc43d9536cf267010f58,da7c9a06-6c8d-11f1-0a80-1be70017b13b,10.0,7668.0,2026-08-01 17:02:14
2026-07-27,75d7c694-78f9-11f0-0a80-077d000b5e09,99e65fddd5719ed7d20095f820e33c0d,da7c9a06-6c8d-11f1-0a80-1be70017b13b,20.0,14875.92,2026-08-01 17:02:14
2026-07-29,79dc242a-1baf-11f1-0a80-138a002eeb35,f79a38d440ea111ccb43e8047fb23a59,da7c9a06-6c8d-11f1-0a80-1be70017b13b,5.0,3833.985,2026-08-05 08:06:02
2026-07-30,b3667c34-3ca3-11f0-0a80-15ce0025d38d,4200c0b0d7184d80e1c98aba9d16660b,d4484b6b-6008-11f1-0a80-05aa000e3ea1,50.0,31050.0,2026-08-01 12:02:13
2026-07-30,b3667c34-3ca3-11f0-0a80-15ce0025d38d,48a33a41ddc9d429a533c0f1f0f21fb1,d4484b6b-6008-11f1-0a80-05aa000e3ea1,32.0,19872.0,2026-08-01 12:02:13
2026-07-30,b3667c34-3ca3-11f0-0a80-15ce0025d38d,961a459badd6e45493e4db351ca30d90,d4484b6b-6008-11f1-0a80-05aa000e3ea1,80.0,49680.0,2026-08-01 12:02:13
