kind,days,days_zero_docs,fail_current,fail_zero_docs,fail_low_but_nonzero,fail_at_0010,fail_at_0005,fail_at_0001,fail_at_any_positive
weekday,322,24,63,24,39,32,31,25,24
weekend,129,16,31,16,15,24,20,16,16
